"Fiscal Year Ended","Taxing Jurisdiction","Amount Distributed","Jurisdiction Sort Order"
"2024","Watertown City School District Consumer Utilities","$1,356,037","110"
"2024","Watervliet City School District Consumer Utilities","$430,710","111"
"2024","White Plains City School District Consumer Utilities","$5,574,431","112"
"2024","New York City Convention Center Development Corporation Hotel Occupancy","$49,966,881","113"
"2024","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$2,621,354","114"
"2024","City of Long Beach Hotel Occupancy and Restaurant Meals","$4,005,364","115"
"2024","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$9,481,009","116"
"2023","New York State Sales and Use Tax","$17,819,001,244","1"
"2023","New York City Sales and Use Tax","$9,708,782,121","2"
"2023","Metropolitan Commuter Transportation District Sales and Use Tax","$1,259,790,757","3"
"2023","Albany County Sales and Use Tax","$368,165,973","4"
"2023","Allegany County Sales and Use Tax","$29,738,427","5"
"2023","Broome County Sales and Use Tax","$179,622,156","6"
"2023","Cattaraugus County Sales and Use Tax","$50,885,910","7"
"2023","Cayuga County Sales and Use Tax","$49,950,464","8"
"2023","Chautauqua County Sales and Use Tax","$88,966,278","9"
"2023","Chemung County Sales and Use Tax","$74,391,172","10"
"2023","Chenango County Sales and Use Tax","$30,842,730","11"
"2023","Clinton County Sales and Use Tax","$73,007,378","12"
"2023","Columbia County Sales and Use Tax","$63,730,773","13"
"2023","Cortland County Sales and Use Tax","$39,894,055","14"
"2023","Delaware County Sales and Use Tax","$32,215,932","15"
"2023","Dutchess County Sales and Use Tax","$259,183,321","16"
"2023","Erie County Sales and Use Tax","$1,033,059,508","17"
"2023","Essex County Sales and Use Tax","$41,698,805","18"
"2023","Franklin County Sales and Use Tax","$33,455,894","19"
"2023","Fulton County Sales and Use Tax","$29,403,035","20"
"2023","Genesee County Sales and Use Tax","$55,525,765","21"
"2023","Greene County Sales and Use Tax","$46,903,041","22"
"2023","Hamilton County Sales and Use Tax","$5,356,304","23"
"2023","Herkimer County Sales and Use Tax","$43,797,192","24"
