"Fiscal Year Ended","Taxing Jurisdiction","Amount Distributed","Jurisdiction Sort Order"
"2010","New York State Sales and Use Tax","$9,903,588,183","1"
"2010","New York City Sales and Use Tax","$4,711,974,473","2"
"2010","Municipal Assistance Corporation Sales and Use Tax","$0","3"
"2010","Metropolitan Commuter Transportation District Sales and Use Tax","$660,385,138","4"
"2010","Albany County Sales and Use Tax","$219,099,480","5"
"2010","Allegany County Sales and Use Tax","$17,411,910","6"
"2010","Broome County Sales and Use Tax","$103,530,576","7"
"2010","Cattaraugus County Sales and Use Tax","$32,644,408","8"
"2010","Cayuga County Sales and Use Tax","$29,945,026","9"
"2010","Chautauqua County Sales and Use Tax","$52,536,211","10"
"2010","Chemung County Sales and Use Tax","$50,979,559","11"
"2010","Chenango County Sales and Use Tax","$17,183,626","12"
"2010","Clinton County Sales and Use Tax","$45,447,012","13"
"2010","Columbia County Sales and Use Tax","$29,440,493","14"
"2010","Cortland County Sales and Use Tax","$22,879,525","15"
"2010","Delaware County Sales and Use Tax","$17,788,365","16"
"2010","Dutchess County Sales and Use Tax","$139,634,615","17"
"2010","Erie County Sales and Use Tax","$637,921,295","18"
"2010","Essex County Sales and Use Tax","$21,726,520","19"
"2010","Franklin County Sales and Use Tax","$18,513,471","20"
"2010","Fulton County Sales and Use Tax","$16,705,111","21"
"2010","Genesee County Sales and Use Tax","$32,060,711","22"
"2010","Greene County Sales and Use Tax","$24,851,225","23"
"2010","Hamilton County Sales and Use Tax","$2,463,170","24"
"2010","Herkimer County Sales and Use Tax","$25,611,493","25"
"2010","Jefferson County Sales and Use Tax","$60,803,610","26"
"2010","Lewis County Sales and Use Tax","$8,957,843","27"
"2010","Livingston County Sales and Use Tax","$24,015,767","28"
"2010","Madison County Sales and Use Tax","$20,889,696","29"
"2010","Monroe County Sales and Use Tax","$385,835,271","30"
"2010","Montgomery County Sales and Use Tax","$23,073,608","31"
"2010","Nassau County Sales and Use Tax","$960,565,094","32"
"2010","Niagara County Sales and Use Tax","$96,854,682","33"
"2010","Oneida County Sales and Use Tax","$116,139,069","34"
"2010","Onondaga County Sales and Use Tax","$279,342,791","35"
"2010","Ontario County Sales and Use Tax","$65,402,120","36"
"2010","Orange County Sales and Use Tax","$213,450,139","37"
"2010","Orleans County Sales and Use Tax","$13,487,796","38"
"2010","Oswego County Sales and Use Tax","$35,470,612","39"
"2010","Otsego County Sales and Use Tax","$31,307,877","40"
"2010","Putnam County Sales and Use Tax","$45,327,118","41"
"2010","Rensselaer County Sales and Use Tax","$65,550,814","42"
"2010","Rockland County Sales and Use Tax","$163,443,221","43"
"2010","St. Lawrence County Sales and Use Tax","$37,504,822","44"
"2010","Saratoga County Sales and Use Tax","$88,709,096","45"
"2010","Schenectady County Sales and Use Tax","$80,929,651","46"
"2010","Schoharie County Sales and Use Tax","$12,323,216","47"
"2010","Schuyler County Sales and Use Tax","$8,795,487","48"
"2010","Seneca County Sales and Use Tax","$20,753,624","49"
"2010","Steuben County Sales and Use Tax","$38,681,413","50"
"2010","Suffolk County Sales and Use Tax","$1,070,285,993","51"
"2010","Sullivan County Sales and Use Tax","$33,030,863","52"
"2010","Tioga County Sales and Use Tax","$18,675,933","53"
"2010","Tompkins County Sales and Use Tax","$41,895,525","54"
"2010","Ulster County Sales and Use Tax","$90,803,893","55"
"2010","Warren County Sales and Use Tax","$42,014,581","56"
"2010","Washington County Sales and Use Tax","$16,202,956","57"
"2010","Wayne County Sales and Use Tax","$34,875,738","58"
"2010","Westchester County Sales and Use Tax","$412,605,722","59"
"2010","Wyoming County Sales and Use Tax","$13,996,489","60"
"2010","Yates County Sales and Use Tax","$8,946,549","61"
"2010","City of Amsterdam Sales and Use Tax","$1,662","62"
"2010","City of Auburn Sales and Use Tax","$7,979,279","63"
"2010","City of Batavia Sales and Use Tax","$1,970","64"
"2010","City of Canandaigua Sales and Use Tax","$10,959","65"
"2010","City of Corning Sales and Use Tax","$2,283,316","66"
"2010","City of Cortland Sales and Use Tax","$3,180","67"
"2010","City of Elmira Sales and Use Tax","$2,966","68"
"2010","City of Fulton Sales and Use Tax","$0","69"
"2010","City of Geneva Sales and Use Tax","$22,398","70"
"2010","City of Glen Cove Sales and Use Tax","$0","71"
"2010","City of Glens Falls Sales and Use Tax","$2,569,875","72"
"2010","City of Gloversville Sales and Use Tax","$2,164,961","73"
"2010","City of Hornell Sales and Use Tax","$2,455,707","74"
"2010","City of Ithaca Sales and Use Tax","$9,255,172","75"
"2010","City of Johnstown Sales and Use Tax","$3,155,256","76"
"2010","City of Mechanicville Sales and Use Tax","$0","77"
"2010","City of Mount Vernon Sales and Use Tax","$16,456,103","78"
"2010","City of New Rochelle Sales and Use Tax","$23,275,168","79"
"2010","City of Norwich Sales and Use Tax","$1,363,260","80"
"2010","City of Ogdensburg Sales and Use Tax","$1,204","81"
"2010","City of Olean Sales and Use Tax","$3,958,233","82"
"2010","City of Oneida Sales and Use Tax","$4,163,764","83"
"2010","City of Oswego Sales and Use Tax","$10,574,421","84"
"2010","City of Plattsburgh Sales and Use Tax","$364","85"
"2010","City of Rome Sales and Use Tax","$6,223,513","86"
"2010","City of Salamanca Sales and Use Tax","$577,625","87"
"2010","City of Saratoga Springs Sales and Use Tax","$8,403,901","88"
"2010","City of Schenectady Sales and Use Tax","$895","89"
"2010","City of Sherrill Sales and Use Tax","$3,500","90"
"2010","City of Troy Sales and Use Tax","$91","91"
"2010","City of Utica Sales and Use Tax","$8,875,697","92"
"2010","City of White Plains Sales and Use Tax","$42,927,277","93"
"2010","City of Yonkers Sales and Use Tax","$35,289,076","94"
"2010","City of Yonkers Special Sales and Use Tax","$23,525,582","95"
"2010","City of Newburgh Consumer Utilities","$1,274,862","96"
"2010","City of Port Jervis Consumer Utilities","$496,497","97"
"2010","Albany City School District Consumer Utilities","$5,138,300","98"
"2010","Batavia City School District Consumer Utilities","$893,867","99"
"2010","Cohoes City School District Consumer Utilities","$683,405","100"
"2010","Glen Cove City School District Consumer Utilities","$1,378,198","101"
"2010","Gloversville City School District Consumer Utilities","$702,380","102"
"2010","Hornell City School District Consumer Utilities","$399,380","103"
"2010","Hudson City School District Consumer Utilities","$851,652","104"
"2010","Johnstown City School District Consumer Utilities","$557,418","105"
"2010","Lackawanna City School District Consumer Utilities","$791,102","106"
"2010","Long Beach City School District Consumer Utilities","$1,591,723","107"
"2010","Middletown City School District Consumer Utilities","$1,763,564","108"
"2010","Mt. Vernon City School District Consumer Utilities","$0","109"
"2010","New Rochelle City School District Consumer Utilities","$3,990,941","110"
"2010","Newburgh City School District Consumer Utilities","$1,164,076","111"
"2010","Niagara Falls City School District Consumer Utilities","$2,727,964","112"
"2010","Ogdensburg City School District Consumer Utilities","$539,258","113"
"2010","Peekskill City School District Consumer Utilities","$354,558","114"
"2010","Rensselaer City School District Consumer Utilities","$409,365","115"
"2010","Schenectady City School District Consumer Utilities","$2,800,723","116"
"2010","Troy City School District Consumer Utilities","$1,063,753","117"
"2010","Utica City School District Consumer Utilities","$2,574,565","118"
"2010","Watertown City School District Consumer Utilities","$1,428,160","119"
"2010","Watervliet City School District Consumer Utilities","$491,631","120"
"2010","White Plains City School District Consumer Utilities","$4,702,429","121"
"2010","New York City Convention Center Development Corporation Hotel Occupancy","$33,959,824","122"
"2010","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$2,662,666","123"
"2010","City of Long Beach Hotel Occupancy and Restaurant Meals","$1,210,444","124"
"2010","Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental","$17,682,230","125"
"2010","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$5,922,941","126"
"2009","New York State Sales and Use Tax","$10,373,713,322","1"
"2009","New York City Sales and Use Tax","$2,429,510,018","2"
"2009","Municipal Assistance Corporation Sales and Use Tax","$2,484,440,815","3"
"2009","Metropolitan Commuter Transportation District Sales and Use Tax","$709,153,320","4"
"2009","Albany County Sales and Use Tax","$235,613,800","5"
"2009","Allegany County Sales and Use Tax","$17,561,843","6"
"2009","Broome County Sales and Use Tax","$111,250,713","7"
"2009","Cattaraugus County Sales and Use Tax","$32,888,470","8"
"2009","Cayuga County Sales and Use Tax","$30,372,341","9"
"2009","Chautauqua County Sales and Use Tax","$51,637,077","10"
"2009","Chemung County Sales and Use Tax","$53,701,848","11"
"2009","Chenango County Sales and Use Tax","$18,266,809","12"
"2009","Clinton County Sales and Use Tax","$47,995,834","13"
"2009","Columbia County Sales and Use Tax","$31,031,407","14"
"2009","Cortland County Sales and Use Tax","$23,783,934","15"
"2009","Delaware County Sales and Use Tax","$19,748,769","16"
"2009","Dutchess County Sales and Use Tax","$150,149,806","17"
"2009","Erie County Sales and Use Tax","$651,638,463","18"
"2009","Essex County Sales and Use Tax","$24,141,071","19"
"2009","Franklin County Sales and Use Tax","$19,982,773","20"
"2009","Fulton County Sales and Use Tax","$17,570,972","21"
"2009","Genesee County Sales and Use Tax","$34,477,343","22"
"2009","Greene County Sales and Use Tax","$27,412,186","23"
"2009","Hamilton County Sales and Use Tax","$2,487,422","24"
"2009","Herkimer County Sales and Use Tax","$26,550,465","25"
"2009","Jefferson County Sales and Use Tax","$62,500,621","26"
"2009","Lewis County Sales and Use Tax","$9,463,684","27"
"2009","Livingston County Sales and Use Tax","$26,025,517","28"
"2009","Madison County Sales and Use Tax","$21,816,010","29"
"2009","Monroe County Sales and Use Tax","$407,272,739","30"
"2009","Montgomery County Sales and Use Tax","$25,542,283","31"
"2009","Nassau County Sales and Use Tax","$994,203,862","32"
"2009","Niagara County Sales and Use Tax","$96,408,968","33"
"2009","Oneida County Sales and Use Tax","$113,841,043","34"
"2009","Onondaga County Sales and Use Tax","$290,674,145","35"
"2009","Ontario County Sales and Use Tax","$66,168,231","36"
"2009","Orange County Sales and Use Tax","$221,663,276","37"
"2009","Orleans County Sales and Use Tax","$13,946,129","38"
"2009","Oswego County Sales and Use Tax","$35,297,046","39"
"2009","Otsego County Sales and Use Tax","$33,301,457","40"
"2009","Putnam County Sales and Use Tax","$51,274,303","41"
"2009","Rensselaer County Sales and Use Tax","$68,597,327","42"
"2009","Rockland County Sales and Use Tax","$169,227,339","43"
"2009","St. Lawrence County Sales and Use Tax","$40,724,696","44"
"2009","Saratoga County Sales and Use Tax","$95,849,142","45"
"2009","Schenectady County Sales and Use Tax","$85,549,656","46"
"2009","Schoharie County Sales and Use Tax","$13,446,599","47"
"2009","Schuyler County Sales and Use Tax","$8,331,769","48"
"2009","Seneca County Sales and Use Tax","$18,659,658","49"
"2009","Steuben County Sales and Use Tax","$42,053,746","50"
"2009","Suffolk County Sales and Use Tax","$1,152,873,124","51"
"2009","Sullivan County Sales and Use Tax","$36,198,059","52"
"2009","Tioga County Sales and Use Tax","$18,463,440","53"
"2009","Tompkins County Sales and Use Tax","$43,982,428","54"
"2009","Ulster County Sales and Use Tax","$97,594,686","55"
"2009","Warren County Sales and Use Tax","$45,481,820","56"
"2009","Washington County Sales and Use Tax","$17,656,751","57"
"2009","Wayne County Sales and Use Tax","$36,087,038","58"
"2009","Westchester County Sales and Use Tax","$460,541,501","59"
"2009","Wyoming County Sales and Use Tax","$15,191,382","60"
"2009","Yates County Sales and Use Tax","$9,262,416","61"
"2009","City of Amsterdam Sales and Use Tax","$871","62"
"2009","City of Auburn Sales and Use Tax","$7,609,621","63"
"2009","City of Batavia Sales and Use Tax","$12,730","64"
"2009","City of Canandaigua Sales and Use Tax","$13,600","65"
"2009","City of Corning Sales and Use Tax","$2,549,639","66"
"2009","City of Cortland Sales and Use Tax","$1,661","67"
"2009","City of Elmira Sales and Use Tax","$4,085","68"
"2009","City of Fulton Sales and Use Tax","$19,177","69"
"2009","City of Geneva Sales and Use Tax","$17,571","70"
"2009","City of Glen Cove Sales and Use Tax","$0","71"
"2009","City of Glens Falls Sales and Use Tax","$2,795,943","72"
"2009","City of Gloversville Sales and Use Tax","$2,241,158","73"
"2009","City of Hornell Sales and Use Tax","$2,374,462","74"
"2009","City of Ithaca Sales and Use Tax","$9,872,157","75"
"2009","City of Johnstown Sales and Use Tax","$3,047,687","76"
"2009","City of Mechanicville Sales and Use Tax","$0","77"
"2009","City of Mount Vernon Sales and Use Tax","$18,090,150","78"
"2009","City of New Rochelle Sales and Use Tax","$24,850,799","79"
"2009","City of Norwich Sales and Use Tax","$1,440,294","80"
"2009","City of Ogdensburg Sales and Use Tax","$0","81"
"2009","City of Olean Sales and Use Tax","$4,102,971","82"
"2009","City of Oneida Sales and Use Tax","$4,110,066","83"
"2009","City of Oswego Sales and Use Tax","$11,632,328","84"
"2009","City of Plattsburgh Sales and Use Tax","$0","85"
"2009","City of Rome Sales and Use Tax","$6,107,589","86"
"2009","City of Salamanca Sales and Use Tax","$539,431","87"
"2009","City of Saratoga Springs Sales and Use Tax","$8,703,637","88"
"2009","City of Schenectady Sales and Use Tax","$1,371","89"
"2009","City of Sherrill Sales and Use Tax","$108,569","90"
"2009","City of Troy Sales and Use Tax","$164","91"
"2009","City of Utica Sales and Use Tax","$8,763,947","92"
"2009","City of White Plains Sales and Use Tax","$47,517,779","93"
"2009","City of Yonkers Sales and Use Tax","$36,934,774","94"
"2009","City of Yonkers Special Sales and Use Tax","$24,620,081","95"
"2009","City of Newburgh Consumer Utilities","$1,226,350","96"
"2009","City of Port Jervis Consumer Utilities","$367,940","97"
"2009","Albany City School District Consumer Utilities","$8,689,714","98"
"2009","Batavia City School District Consumer Utilities","$1,590,862","99"
"2009","Cohoes City School District Consumer Utilities","$1,103,410","100"
"2009","Glen Cove City School District Consumer Utilities","$2,414,884","101"
"2009","Gloversville City School District Consumer Utilities","$771,210","102"
"2009","Hornell City School District Consumer Utilities","$539,475","103"
"2009","Hudson City School District Consumer Utilities","$1,154,760","104"
"2009","Johnstown City School District Consumer Utilities","$645,931","105"
"2009","Lackawanna City School District Consumer Utilities","$1,081,370","106"
"2009","Long Beach City School District Consumer Utilities","$3,497,253","107"
"2009","Middletown City School District Consumer Utilities","$2,975,190","108"
"2009","Mt. Vernon City School District Consumer Utilities","$0","109"
"2009","New Rochelle City School District Consumer Utilities","$5,948,581","110"
"2009","Newburgh City School District Consumer Utilities","$0","111"
"2009","Niagara Falls City School District Consumer Utilities","$3,449,956","112"
"2009","Ogdensburg City School District Consumer Utilities","$640,052","113"
"2009","Peekskill City School District Consumer Utilities","$0","114"
"2009","Rensselaer City School District Consumer Utilities","$396,107","115"
"2009","Schenectady City School District Consumer Utilities","$4,192,203","116"
"2009","Troy City School District Consumer Utilities","$1,166,022","117"
"2009","Utica City School District Consumer Utilities","$3,075,629","118"
"2009","Watertown City School District Consumer Utilities","$1,701,691","119"
"2009","Watervliet City School District Consumer Utilities","$729,455","120"
"2009","White Plains City School District Consumer Utilities","$6,833,571","121"
"2009","New York City Convention Center Development Corporation Hotel Occupancy","$36,755,296","122"
"2009","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$2,439,150","123"
"2009","City of Long Beach Hotel Occupancy and Restaurant Meals","$1,188,722","124"
"2009","Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental","$0","125"
"2009","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$5,561,168","126"
"2008","New York State Sales and Use Tax","$10,578,790,344","1"
"2008","New York City Sales and Use Tax","$204,578,513","2"
"2008","Municipal Assistance Corporation Sales and Use Tax","$4,592,333,110","3"
"2008","Metropolitan Commuter Transportation District Sales and Use Tax","$707,945,616","4"
"2008","Albany County Sales and Use Tax","$230,847,700","5"
"2008","Allegany County Sales and Use Tax","$17,773,798","6"
"2008","Broome County Sales and Use Tax","$107,944,603","7"
"2008","Cattaraugus County Sales and Use Tax","$31,937,883","8"
"2008","Cayuga County Sales and Use Tax","$30,239,507","9"
"2008","Chautauqua County Sales and Use Tax","$57,445,843","10"
"2008","Chemung County Sales and Use Tax","$51,615,624","11"
"2008","Chenango County Sales and Use Tax","$18,985,323","12"
"2008","Clinton County Sales and Use Tax","$44,971,859","13"
"2008","Columbia County Sales and Use Tax","$29,589,517","14"
"2008","Cortland County Sales and Use Tax","$24,228,046","15"
"2008","Delaware County Sales and Use Tax","$20,944,415","16"
"2008","Dutchess County Sales and Use Tax","$153,827,390","17"
"2008","Erie County Sales and Use Tax","$646,488,275","18"
"2008","Essex County Sales and Use Tax","$23,041,104","19"
"2008","Franklin County Sales and Use Tax","$19,336,414","20"
"2008","Fulton County Sales and Use Tax","$18,072,672","21"
"2008","Genesee County Sales and Use Tax","$31,594,887","22"
"2008","Greene County Sales and Use Tax","$27,437,222","23"
"2008","Hamilton County Sales and Use Tax","$2,680,941","24"
"2008","Herkimer County Sales and Use Tax","$25,645,859","25"
"2008","Jefferson County Sales and Use Tax","$62,438,463","26"
"2008","Lewis County Sales and Use Tax","$9,411,018","27"
"2008","Livingston County Sales and Use Tax","$25,233,421","28"
"2008","Madison County Sales and Use Tax","$22,565,056","29"
"2008","Monroe County Sales and Use Tax","$404,844,915","30"
"2008","Montgomery County Sales and Use Tax","$24,215,212","31"
"2008","Nassau County Sales and Use Tax","$1,011,932,745","32"
"2008","Niagara County Sales and Use Tax","$95,287,760","33"
"2008","Oneida County Sales and Use Tax","$119,977,885","34"
"2008","Onondaga County Sales and Use Tax","$288,453,596","35"
"2008","Ontario County Sales and Use Tax","$65,534,926","36"
"2008","Orange County Sales and Use Tax","$222,163,593","37"
"2008","Orleans County Sales and Use Tax","$13,955,080","38"
"2008","Oswego County Sales and Use Tax","$33,750,424","39"
"2008","Otsego County Sales and Use Tax","$34,385,774","40"
"2008","Putnam County Sales and Use Tax","$46,563,522","41"
"2008","Rensselaer County Sales and Use Tax","$64,240,713","42"
"2008","Rockland County Sales and Use Tax","$172,854,412","43"
"2008","St. Lawrence County Sales and Use Tax","$38,586,551","44"
"2008","Saratoga County Sales and Use Tax","$95,153,247","45"
"2008","Schenectady County Sales and Use Tax","$80,670,605","46"
"2008","Schoharie County Sales and Use Tax","$13,496,086","47"
"2008","Schuyler County Sales and Use Tax","$8,067,031","48"
"2008","Seneca County Sales and Use Tax","$19,360,905","49"
"2008","Steuben County Sales and Use Tax","$39,834,906","50"
"2008","Suffolk County Sales and Use Tax","$1,179,092,362","51"
"2008","Sullivan County Sales and Use Tax","$35,201,649","52"
"2008","Tioga County Sales and Use Tax","$17,983,318","53"
"2008","Tompkins County Sales and Use Tax","$42,918,509","54"
"2008","Ulster County Sales and Use Tax","$97,588,569","55"
"2008","Warren County Sales and Use Tax","$45,351,043","56"
"2008","Washington County Sales and Use Tax","$16,741,382","57"
"2008","Wayne County Sales and Use Tax","$35,409,126","58"
"2008","Westchester County Sales and Use Tax","$462,874,724","59"
"2008","Wyoming County Sales and Use Tax","$14,268,284","60"
"2008","Yates County Sales and Use Tax","$9,168,354","61"
"2008","City of Amsterdam Sales and Use Tax","$558","62"
"2008","City of Auburn Sales and Use Tax","$7,697,880","63"
"2008","City of Batavia Sales and Use Tax","$2,488","64"
"2008","City of Canandaigua Sales and Use Tax","$18,696","65"
"2008","City of Corning Sales and Use Tax","$2,544,662","66"
"2008","City of Cortland Sales and Use Tax","$2,974","67"
"2008","City of Elmira Sales and Use Tax","$2,961","68"
"2008","City of Fulton Sales and Use Tax","$186,722","69"
"2008","City of Geneva Sales and Use Tax","$29,812","70"
"2008","City of Glen Cove Sales and Use Tax","$1,847","71"
"2008","City of Glens Falls Sales and Use Tax","$2,864,922","72"
"2008","City of Gloversville Sales and Use Tax","$2,487,099","73"
"2008","City of Hornell Sales and Use Tax","$2,267,115","74"
"2008","City of Ithaca Sales and Use Tax","$9,071,594","75"
"2008","City of Johnstown Sales and Use Tax","$3,050,766","76"
"2008","City of Mechanicville Sales and Use Tax","$0","77"
"2008","City of Mount Vernon Sales and Use Tax","$17,594,449","78"
"2008","City of New Rochelle Sales and Use Tax","$24,779,709","79"
"2008","City of Norwich Sales and Use Tax","$1,364,980","80"
"2008","City of Ogdensburg Sales and Use Tax","$478","81"
"2008","City of Olean Sales and Use Tax","$3,866,176","82"
"2008","City of Oneida Sales and Use Tax","$4,406,032","83"
"2008","City of Oswego Sales and Use Tax","$12,020,223","84"
"2008","City of Plattsburgh Sales and Use Tax","$601","85"
"2008","City of Rome Sales and Use Tax","$6,305,252","86"
"2008","City of Salamanca Sales and Use Tax","$570,517","87"
"2008","City of Saratoga Springs Sales and Use Tax","$8,662,884","88"
"2008","City of Schenectady Sales and Use Tax","$1,139","89"
"2008","City of Sherrill Sales and Use Tax","$192,134","90"
"2008","City of Troy Sales and Use Tax","$714","91"
"2008","City of Utica Sales and Use Tax","$8,976,114","92"
"2008","City of White Plains Sales and Use Tax","$46,008,602","93"
"2008","City of Yonkers Sales and Use Tax","$36,111,724","94"
"2008","City of Yonkers Special Sales and Use Tax","$24,074,264","95"
"2008","City of Newburgh Consumer Utilities","$1,242,456","96"
"2008","City of Port Jervis Consumer Utilities","$417,775","97"
"2008","Albany City School District Consumer Utilities","$6,313,488","98"
"2008","Batavia City School District Consumer Utilities","$987,089","99"
"2008","Cohoes City School District Consumer Utilities","$708,750","100"
"2008","Glen Cove City School District Consumer Utilities","$1,644,596","101"
"2008","Gloversville City School District Consumer Utilities","$773,772","102"
"2008","Hornell City School District Consumer Utilities","$415,390","103"
"2008","Hudson City School District Consumer Utilities","$824,376","104"
"2008","Johnstown City School District Consumer Utilities","$608,023","105"
"2008","Lackawanna City School District Consumer Utilities","$781,190","106"
"2008","Long Beach City School District Consumer Utilities","$2,242,022","107"
"2008","Middletown City School District Consumer Utilities","$2,212,321","108"
"2008","Mt. Vernon City School District Consumer Utilities","$0","109"
"2008","New Rochelle City School District Consumer Utilities","$4,241,775","110"
"2008","Newburgh City School District Consumer Utilities","$0","111"
"2008","Niagara Falls City School District Consumer Utilities","$2,607,075","112"
"2008","Ogdensburg City School District Consumer Utilities","$556,407","113"
"2008","Peekskill City School District Consumer Utilities","$0","114"
"2008","Rensselaer City School District Consumer Utilities","$446,337","115"
"2008","Schenectady City School District Consumer Utilities","$3,284,529","116"
"2008","Troy City School District Consumer Utilities","$1,166,039","117"
"2008","Utica City School District Consumer Utilities","$2,842,653","118"
"2008","Watertown City School District Consumer Utilities","$1,688,441","119"
"2008","Watervliet City School District Consumer Utilities","$511,652","120"
"2008","White Plains City School District Consumer Utilities","$5,177,121","121"
"2008","New York City Convention Center Development Corporation Hotel Occupancy","$31,292,210","122"
"2008","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$2,191,823","123"
"2008","City of Long Beach Hotel Occupancy and Restaurant Meals","$1,116,440","124"
"2008","Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental","$0","125"
"2008","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$5,539,404","126"
"2007","New York State Sales and Use Tax","$10,194,179,453","1"
"2007","New York City Sales and Use Tax","$180,429,868","2"
"2007","Municipal Assistance Corporation Sales and Use Tax","$4,377,627,764","3"
"2007","Metropolitan Commuter Transportation District Sales and Use Tax","$695,502,789","4"
"2007","Albany County Sales and Use Tax","$228,736,473","5"
"2007","Allegany County Sales and Use Tax","$16,877,595","6"
"2007","Broome County Sales and Use Tax","$102,965,912","7"
"2007","Cattaraugus County Sales and Use Tax","$31,223,743","8"
"2007","Cayuga County Sales and Use Tax","$29,056,739","9"
"2007","Chautauqua County Sales and Use Tax","$60,691,940","10"
"2007","Chemung County Sales and Use Tax","$49,437,514","11"
"2007","Chenango County Sales and Use Tax","$17,715,164","12"
"2007","Clinton County Sales and Use Tax","$41,837,831","13"
"2007","Columbia County Sales and Use Tax","$31,324,154","14"
"2007","Cortland County Sales and Use Tax","$22,520,205","15"
"2007","Delaware County Sales and Use Tax","$20,585,821","16"
"2007","Dutchess County Sales and Use Tax","$147,226,603","17"
"2007","Erie County Sales and Use Tax","$610,998,734","18"
"2007","Essex County Sales and Use Tax","$22,974,876","19"
"2007","Franklin County Sales and Use Tax","$17,281,749","20"
"2007","Fulton County Sales and Use Tax","$17,534,112","21"
"2007","Genesee County Sales and Use Tax","$30,892,892","22"
"2007","Greene County Sales and Use Tax","$26,440,099","23"
"2007","Hamilton County Sales and Use Tax","$2,685,182","24"
"2007","Herkimer County Sales and Use Tax","$23,499,706","25"
"2007","Jefferson County Sales and Use Tax","$61,023,707","26"
"2007","Lewis County Sales and Use Tax","$9,373,327","27"
"2007","Livingston County Sales and Use Tax","$24,546,767","28"
"2007","Madison County Sales and Use Tax","$21,147,599","29"
"2007","Monroe County Sales and Use Tax","$381,790,560","30"
"2007","Montgomery County Sales and Use Tax","$24,700,881","31"
"2007","Nassau County Sales and Use Tax","$997,790,791","32"
"2007","Niagara County Sales and Use Tax","$90,827,971","33"
"2007","Oneida County Sales and Use Tax","$124,793,960","34"
"2007","Onondaga County Sales and Use Tax","$284,805,773","35"
"2007","Ontario County Sales and Use Tax","$58,918,412","36"
"2007","Orange County Sales and Use Tax","$219,985,900","37"
"2007","Orleans County Sales and Use Tax","$12,478,275","38"
"2007","Oswego County Sales and Use Tax","$29,264,782","39"
"2007","Otsego County Sales and Use Tax","$33,219,847","40"
"2007","Putnam County Sales and Use Tax","$42,696,914","41"
"2007","Rensselaer County Sales and Use Tax","$61,575,534","42"
"2007","Rockland County Sales and Use Tax","$156,500,688","43"
"2007","St. Lawrence County Sales and Use Tax","$38,434,092","44"
"2007","Saratoga County Sales and Use Tax","$91,364,383","45"
"2007","Schenectady County Sales and Use Tax","$69,281,729","46"
"2007","Schoharie County Sales and Use Tax","$13,700,426","47"
"2007","Schuyler County Sales and Use Tax","$8,257,397","48"
"2007","Seneca County Sales and Use Tax","$18,426,766","49"
"2007","Steuben County Sales and Use Tax","$37,853,717","50"
"2007","Suffolk County Sales and Use Tax","$1,142,721,425","51"
"2007","Sullivan County Sales and Use Tax","$32,439,912","52"
"2007","Tioga County Sales and Use Tax","$18,369,468","53"
"2007","Tompkins County Sales and Use Tax","$40,379,002","54"
"2007","Ulster County Sales and Use Tax","$98,134,534","55"
"2007","Warren County Sales and Use Tax","$44,804,009","56"
"2007","Washington County Sales and Use Tax","$15,456,612","57"
"2007","Wayne County Sales and Use Tax","$31,958,873","58"
"2007","Westchester County Sales and Use Tax","$443,850,963","59"
"2007","Wyoming County Sales and Use Tax","$13,595,969","60"
"2007","Yates County Sales and Use Tax","$8,727,431","61"
"2007","City of Amsterdam Sales and Use Tax","$999","62"
"2007","City of Auburn Sales and Use Tax","$7,348,866","63"
"2007","City of Batavia Sales and Use Tax","$3,774","64"
"2007","City of Canandaigua Sales and Use Tax","$171,349","65"
"2007","City of Corning Sales and Use Tax","$2,460,311","66"
"2007","City of Cortland Sales and Use Tax","$716","67"
"2007","City of Elmira Sales and Use Tax","$1,055","68"
"2007","City of Fulton Sales and Use Tax","$6,547,676","69"
"2007","City of Geneva Sales and Use Tax","$135,656","70"
"2007","City of Glen Cove Sales and Use Tax","$0","71"
"2007","City of Glens Falls Sales and Use Tax","$2,842,026","72"
"2007","City of Gloversville Sales and Use Tax","$2,391,777","73"
"2007","City of Hornell Sales and Use Tax","$2,180,363","74"
"2007","City of Ithaca Sales and Use Tax","$8,274,990","75"
"2007","City of Johnstown Sales and Use Tax","$2,905,514","76"
"2007","City of Mechanicville Sales and Use Tax","$0","77"
"2007","City of Mount Vernon Sales and Use Tax","$16,685,595","78"
"2007","City of New Rochelle Sales and Use Tax","$23,690,850","79"
"2007","City of Norwich Sales and Use Tax","$1,297,932","80"
"2007","City of Ogdensburg Sales and Use Tax","$6,131","81"
"2007","City of Olean Sales and Use Tax","$3,643,284","82"
"2007","City of Oneida Sales and Use Tax","$4,033,688","83"
"2007","City of Oswego Sales and Use Tax","$12,308,923","84"
